2017-18 Rank,Rank in the most recent five years,Trend,School Name,City,2017-18 Rating,2017-18 Rating by Percent,Rating in the most recent five years,Waterloo Adjustment,,
84/738,75/625,NO CHANGE,Renaissance,Aurora,7.8,78.00%,7.7,16.3,64.37%,71.18%
84/738,100/625,UPTREND,St Thomas of Villanova,LaSalle,7.8,78.00%,7.5,16.3,64.37%,71.18%
84/738,114/625,UPTREND,St Matthew,Orléans,7.8,78.00%,7.4,16.3,64.37%,71.18%
84/738,129/625,NO CHANGE,Dr G W Williams,Aurora,7.8,78.00%,7.3,16.3,64.37%,71.18%
84/738,163/625,UPTREND,Louis-Riel,Gloucester,7.8,78.00%,7.1,16.3,64.37%,71.18%
84/738,214/625,NO CHANGE,St Paul,Mississauga,7.8,78.00%,6.8,16.3,64.37%,71.18%
84/738,n/a,NO CHANGE,Tommy Douglas,Woodbridge,7.8,78.00%,n/a,16.3,64.37%,71.18%
101/738,24/625,NO CHANGE,Bloor,Toronto,7.7,77.00%,8.5,16.3,64.37%,70.68%
101/738,49/625,NO CHANGE,Nelson,Burlington,7.7,77.00%,8,16.3,64.37%,70.68%
101/738,66/625,NO CHANGE,Longfields Davidson Heights,Nepean,7.7,77.00%,7.8,16.3,64.37%,70.68%
101/738,66/625,NO CHANGE,St Mark,Manotick,7.7,77.00%,7.8,16.3,64.37%,70.68%
101/738,66/625,NO CHANGE,Thomas A Blakelock,Oakville,7.7,77.00%,7.8,16.3,64.37%,70.68%
101/738,75/625,NO CHANGE,St Joseph's,Toronto,7.7,77.00%,7.7,16.3,64.37%,70.68%
101/738,90/625,NO CHANGE,Glebe,Ottawa,7.7,77.00%,7.6,16.3,64.37%,70.68%
101/738,114/625,NO CHANGE,Alexander MacKenzie,Richmond Hill,7.7,77.00%,7.4,16.3,64.37%,70.68%
101/738,163/625,NO CHANGE,Riverdale,Toronto,7.7,77.00%,7.1,16.3,64.37%,70.68%
101/738,184/625,UPTREND,Cardinal Ambrozic,Brampton,7.7,77.00%,7,16.3,64.37%,70.68%
101/738,184/625,UPTREND,Eastview,Barrie,7.7,77.00%,7,16.3,64.37%,70.68%
101/738,184/625,NO CHANGE,Saint-Frère-André,Toronto,7.7,77.00%,7,16.3,64.37%,70.68%
101/738,202/625,UPTREND,Saugeen,Port Elgin,7.7,77.00%,6.9,16.3,64.37%,70.68%
101/738,214/625,NO CHANGE,Samuel-Genest,Ottawa,7.7,77.00%,6.8,16.3,64.37%,70.68%
101/738,301/625,NO CHANGE,Mitchell,Mitchell,7.7,77.00%,6.3,16.3,64.37%,70.68%
101/738,n/a,NO CHANGE,Brooklin,Whitby,7.7,77.00%,n/a,16.3,64.37%,70.68%
117/738,57/625,NO CHANGE,Sacred Heart,Stittsville,7.6,76.00%,7.9,16.3,64.37%,70.18%
117/738,66/625,DOWNTREND,Mother Teresa,Nepean,7.6,76.00%,7.8,16.3,64.37%,70.18%
117/738,90/625,NO CHANGE,Sainte-Famille,Mississauga,7.6,76.00%,7.6,16.3,64.37%,70.18%
117/738,100/625,NO CHANGE,Our Lady of Lourdes,Guelph,7.6,76.00%,7.5,16.3,64.37%,70.18%
117/738,114/625,NO CHANGE,Holy Names,Windsor,7.6,76.00%,7.4,16.3,64.37%,70.18%
117/738,114/625,NO CHANGE,Marc-Garneau,Trenton,7.6,76.00%,7.4,16.3,64.37%,70.18%
117/738,129/625,NO CHANGE,Mary Ward,Toronto,7.6,76.00%,7.3,16.3,64.37%,70.18%
117/738,129/625,NO CHANGE,St Mary's,Hamilton,7.6,76.00%,7.3,16.3,64.37%,70.18%
117/738,163/625,NO CHANGE,Holy Trinity,Oakville,7.6,76.00%,7.1,16.3,64.37%,70.18%
117/738,163/625,DOWNTREND,Jean Vanier,Milton,7.6,76.00%,7.1,16.3,64.37%,70.18%
117/738,229/625,NO CHANGE,Gaétan Gervais,Oakville,7.6,76.00%,6.7,16.3,64.37%,70.18%
117/738,264/625,NO CHANGE,Pierre-Savard,Nepean,7.6,76.00%,6.5,16.3,64.37%,70.18%
117/738,n/a,NO CHANGE,Canterbury,Ottawa,7.6,76.00%,n/a,16.3,64.37%,70.18%
117/738,n/a,NO CHANGE,Lorne Park,Mississauga,7.6,76.00%,n/a,16.3,64.37%,70.18%
117/738,n/a,NO CHANGE,Port Credit,Mississauga,7.6,76.00%,n/a,16.3,64.37%,70.18%
133/738,39/625,NO CHANGE,St Joseph,Nepean,7.5,75.00%,8.1,16.3,64.37%,69.68%
133/738,90/625,NO CHANGE,Rosedale Heights-Arts,Toronto,7.5,75.00%,7.6,16.3,64.37%,69.68%
133/738,100/625,NO CHANGE,W A Porter,Toronto,7.5,75.00%,7.5,16.3,64.37%,69.68%
